Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG103786.001,sp|O35239|PTN9_MOUSE,Tyrosine-protein phosphatase non-receptor type 9 OS=Mus musculus GN=Ptpn9 PE=1 SV=2,Ptpn9,O35239
SJPG101289.001,sp|O35250|EXOC7_MOUSE,Exocyst complex component 7 OS=Mus musculus GN=Exoc7 PE=1 SV=2,Exoc7,O35250
SJPG101535.001,sp|O35286|DHX15_MOUSE,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus GN=Dhx15 PE=1 SV=2,Dhx15,O35286
SJPG101156.001,sp|O35295|PURB_MOUSE,Transcriptional activator protein Pur-beta OS=Mus musculus GN=Purb PE=1 SV=3,Purb,O35295
SJPG102501.001,sp|O35326|SRSF5_MOUSE,Serine/arginine-rich splicing factor 5 OS=Mus musculus GN=Srsf5 PE=1 SV=2,Srsf5,O35326
SJPG102610.001,sp|O35343|IMA3_MOUSE,Importin subunit alpha-3 OS=Mus musculus GN=Kpna4 PE=1 SV=1,Kpna4,O35343
SJPG101295.001,sp|O35344|IMA4_MOUSE,Importin subunit alpha-4 OS=Mus musculus GN=Kpna3 PE=1 SV=1,Kpna3,O35344
SJPG103642.001,sp|O35345|IMA7_MOUSE,Importin subunit alpha-7 OS=Mus musculus GN=Kpna6 PE=1 SV=2,Kpna6,O35345
SJPG103210.001,sp|O35350|CAN1_MOUSE,Calpain-1 catalytic subunit OS=Mus musculus GN=Capn1 PE=1 SV=1,Capn1,O35350
SJPG117729.001,sp|O35367|KERA_MOUSE,Keratocan OS=Mus musculus GN=Kera PE=2 SV=1,Kera,O35367
SJPG108818.001,sp|O35379|MRP1_MOUSE,Multidrug resistance-associated protein 1 OS=Mus musculus GN=Abcc1 PE=1 SV=1,Abcc1,O35379
SJPG100803.001,sp|O35381|AN32A_MOUSE,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus GN=Anp32a PE=1 SV=1,Anp32a,O35381
SJPG102116.001,sp|O35382|EXOC4_MOUSE,Exocyst complex component 4 OS=Mus musculus GN=Exoc4 PE=1 SV=2,Exoc4,O35382
SJPG103797.001,sp|O35386|PAHX_MOUSE,"Phytanoyl-CoA dioxygenase, peroxisomal OS=Mus musculus GN=Phyh PE=1 SV=1",Phyh,O35386
SJPG103757.001,sp|O35387|HAX1_MOUSE,HCLS1-associated protein X-1 OS=Mus musculus GN=Hax1 PE=1 SV=1,Hax1,O35387
SJPG100491.001,sp|O35435|PYRD_MOUSE,"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Mus musculus GN=Dhodh PE=2 SV=2",Dhodh,O35435
SJPG104019.001,sp|O35459|ECH1_MOUSE,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1",Ech1,O35459
SJPG107809.001,sp|O35465|FKBP8_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Mus musculus GN=Fkbp8 PE=1 SV=2,Fkbp8,O35465
SJPG101845.001,sp|O35551|RABE1_MOUSE,Rab GTPase-binding effector protein 1 OS=Mus musculus GN=Rabep1 PE=1 SV=2,Rabep1,O35551
SJPG109650.001,sp|O35566|CD151_MOUSE,CD151 antigen OS=Mus musculus GN=Cd151 PE=2 SV=2,Cd151,O35566
SJPG102684.001,sp|O35593|PSDE_MOUSE,26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus GN=Psmd14 PE=1 SV=2,Psmd14,O35593
SJPG107544.001,sp|O35594|IFT81_MOUSE,Intraflagellar transport protein 81 homolog OS=Mus musculus GN=Ift81 PE=1 SV=4,Ift81,O35594
SJPG104314.001,sp|O35598|ADA10_MOUSE,Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus GN=Adam10 PE=1 SV=2,Adam10,O35598
SJPG107750.001,sp|O35604|NPC1_MOUSE,Niemann-Pick C1 protein OS=Mus musculus GN=Npc1 PE=1 SV=2,Npc1,O35604
SJPG101540.001,sp|O35621|PMM1_MOUSE,Phosphomannomutase 1 OS=Mus musculus GN=Pmm1 PE=1 SV=1,Pmm1,O35621
SJPG100469.001,sp|O35639|ANXA3_MOUSE,Annexin A3 OS=Mus musculus GN=Anxa3 PE=1 SV=4,Anxa3,O35639
SJPG100685.001,sp|O35643|AP1B1_MOUSE,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=2 SV=2,Ap1b1,O35643
SJPG101408.001,sp|O35658|C1QBP_MOUSE,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus GN=C1qbp PE=1 SV=1",C1qbp,O35658
SJPG101659.001,sp|O35678|MGLL_MOUSE,Monoglyceride lipase OS=Mus musculus GN=Mgll PE=1 SV=1,Mgll,O35678
SJPG109073.001,sp|O35683|NDUA1_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 OS=Mus musculus GN=Ndufa1 PE=3 SV=1,Ndufa1,O35683
SJPG100228.001,sp|O35685|NUDC_MOUSE,Nuclear migration protein nudC OS=Mus musculus GN=Nudc PE=1 SV=1,Nudc,O35685
SJPG102542.001,sp|O35691|PININ_MOUSE,Pinin OS=Mus musculus GN=Pnn PE=1 SV=4,Pnn,O35691
SJPG103866.001,sp|O35737|HNRH1_MOUSE,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=3,Hnrnph1,O35737
SJPG103778.001,sp|O35841|API5_MOUSE,Apoptosis inhibitor 5 OS=Mus musculus GN=Api5 PE=1 SV=2,Api5,O35841
SJPG103764.001,sp|O35855|BCAT2_MOUSE,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus GN=Bcat2 PE=2 SV=2",Bcat2,O35855
SJPG102107.001,sp|O35857|TIM44_MOUSE,Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus GN=Timm44 PE=1 SV=2,Timm44,O35857
SJPG101476.001,sp|O35864|CSN5_MOUSE,COP9 signalosome complex subunit 5 OS=Mus musculus GN=Cops5 PE=1 SV=3,Cops5,O35864
SJPG100016.001,sp|O35887|CALU_MOUSE,Calumenin OS=Mus musculus GN=Calu PE=1 SV=1,Calu,O35887
SJPG103632.001,sp|O35945|AL1A7_MOUSE,"Aldehyde dehydrogenase, cytosolic 1 OS=Mus musculus GN=Aldh1a7 PE=2 SV=1",Aldh1a7,O35945
SJPG100680.001,sp|O35955|PSB10_MOUSE,Proteasome subunit beta type-10 OS=Mus musculus GN=Psmb10 PE=1 SV=1,Psmb10,O35955
SJPG104478.001,sp|O54692|ZW10_MOUSE,Centromere/kinetochore protein zw10 homolog OS=Mus musculus GN=Zw10 PE=2 SV=3,Zw10,O54692
SJPG101880.001,sp|O54724|PTRF_MOUSE,Polymerase I and transcript release factor OS=Mus musculus GN=Ptrf PE=1 SV=1,Ptrf,O54724
SJPG101383.001,sp|O54734|OST48_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus GN=Ddost PE=1 SV=2,Ddost,O54734
SJPG102878.001,sp|O54774|AP3D1_MOUSE,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1,Ap3d1,O54774
SJPG102245.001,sp|O54781|SRPK2_MOUSE,SRSF protein kinase 2 OS=Mus musculus GN=Srpk2 PE=1 SV=2,Srpk2,O54781
SJPG102355.001,sp|O54786|DFFA_MOUSE,DNA fragmentation factor subunit alpha OS=Mus musculus GN=Dffa PE=1 SV=2,Dffa,O54786
SJPG101965.001,sp|O54833|CSK22_MOUSE,Casein kinase II subunit alpha' OS=Mus musculus GN=Csnk2a2 PE=2 SV=1,Csnk2a2,O54833
SJPG102122.001,sp|O54865|GCYB1_MOUSE,Guanylate cyclase soluble subunit beta-1 OS=Mus musculus GN=Gucy1b3 PE=2 SV=1,Gucy1b3,O54865
SJPG101706.001,sp|O54916|REPS1_MOUSE,RalBP1-associated Eps domain-containing protein 1 OS=Mus musculus GN=Reps1 PE=1 SV=2,Reps1,O54916
SJPG102078.001,sp|O54941|SMCE1_MOUSE,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Mus musculus GN=Smarce1 PE=1 SV=1,Smarce1,O54941
SJPG100928.001,sp|O54946|DNJB6_MOUSE,DnaJ homolog subfamily B member 6 OS=Mus musculus GN=Dnajb6 PE=1 SV=4,Dnajb6,O54946
SJPG100622.001,sp|O54950|AAKG1_MOUSE,5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus GN=Prkag1 PE=1 SV=2,Prkag1,O54950
SJPG101676.001,sp|O54984|ASNA_MOUSE,ATPase Asna1 OS=Mus musculus GN=Asna1 PE=1 SV=2,Asna1,O54984
SJPG102834.001,sp|O54988|SLK_MOUSE,STE20-like serine/threonine-protein kinase OS=Mus musculus GN=Slk PE=1 SV=2,Slk,O54988
SJPG105501.001,sp|O54998|FKBP7_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP7 OS=Mus musculus GN=Fkbp7 PE=1 SV=1,Fkbp7,O54998
SJPG108213.001,sp|O55003|BNIP3_MOUSE,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Mus musculus GN=Bnip3 PE=1 SV=1,Bnip3,O55003
SJPG102191.001,sp|O55013|TPPC3_MOUSE,Trafficking protein particle complex subunit 3 OS=Mus musculus GN=Trappc3 PE=1 SV=1,Trappc3,O55013
SJPG101261.001,sp|O55023|IMPA1_MOUSE,Inositol monophosphatase 1 OS=Mus musculus GN=Impa1 PE=1 SV=1,Impa1,O55023
SJPG104238.001,sp|O55026|ENTP2_MOUSE,Ectonucleoside triphosphate diphosphohydrolase 2 OS=Mus musculus GN=Entpd2 PE=1 SV=2,Entpd2,O55026
SJPG104246.001,sp|O55028|BCKD_MOUSE,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus GN=Bckdk PE=1 SV=1",Bckdk,O55028
SJPG101972.001,sp|O55029|COPB2_MOUSE,Coatomer subunit beta' OS=Mus musculus GN=Copb2 PE=2 SV=2,Copb2,O55029
SJPG100115.001,sp|O55042|SYUA_MOUSE,Alpha-synuclein OS=Mus musculus GN=Snca PE=1 SV=2,Snca,O55042
SJPG107684.001,sp|O55047|TLK2_MOUSE,Serine/threonine-protein kinase tousled-like 2 OS=Mus musculus GN=Tlk2 PE=1 SV=2,Tlk2,O55047
SJPG102056.001,sp|O55091|IMPCT_MOUSE,Protein IMPACT OS=Mus musculus GN=Impact PE=1 SV=2,Impact,O55091
SJPG107006.001,sp|O55098|STK10_MOUSE,Serine/threonine-protein kinase 10 OS=Mus musculus GN=Stk10 PE=1 SV=2,Stk10,O55098
SJPG113565.001,sp|O55103|PRAX_MOUSE,Periaxin OS=Mus musculus GN=Prx PE=2 SV=1,Prx,O55103
SJPG100750.001,sp|O55106|STRN_MOUSE,Striatin OS=Mus musculus GN=Strn PE=1 SV=2,Strn,O55106
SJPG101023.001,sp|O55126|NIPS2_MOUSE,Protein NipSnap homolog 2 OS=Mus musculus GN=Gbas PE=2 SV=1,Gbas,O55126
SJPG100238.001,sp|O55128|SAP18_MOUSE,Histone deacetylase complex subunit SAP18 OS=Mus musculus GN=Sap18 PE=1 SV=1,Sap18,O55128
SJPG100607.001,sp|O55131|SEPT7_MOUSE,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,Sept7,O55131
SJPG101496.001,sp|O55135|IF6_MOUSE,Eukaryotic translation initiation factor 6 OS=Mus musculus GN=Eif6 PE=1 SV=2,Eif6,O55135
SJPG100888.001,sp|O55137|ACOT1_MOUSE,Acyl-coenzyme A thioesterase 1 OS=Mus musculus GN=Acot1 PE=1 SV=1,Acot1,O55137
SJPG100149.001,sp|O55142|RL35A_MOUSE,60S ribosomal protein L35a OS=Mus musculus GN=Rpl35a PE=1 SV=2,Rpl35a,O55142
SJPG101266.001,sp|O55143|AT2A2_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2,Atp2a2,O55143
SJPG102623.001,sp|O55201|SPT5H_MOUSE,Transcription elongation factor SPT5 OS=Mus musculus GN=Supt5h PE=1 SV=1,Supt5h,O55201
SJPG103707.001,sp|O55222|ILK_MOUSE,Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2,Ilk,O55222
SJPG102341.001,sp|O55229|CHKB_MOUSE,Choline/ethanolamine kinase OS=Mus musculus GN=Chkb PE=1 SV=3,Chkb,O55229
SJPG100352.001,sp|O55234|PSB5_MOUSE,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3,Psmb5,O55234
SJPG102087.002,sp|O70133-2|DHX9_MOUSE,Isoform 2 of ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9,Dhx9,O70133-2
SJPG102087.001,sp|O70133|DHX9_MOUSE,ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=2,Dhx9,O70133
SJPG104844.001,sp|O70145|NCF2_MOUSE,Neutrophil cytosol factor 2 OS=Mus musculus GN=Ncf2 PE=1 SV=1,Ncf2,O70145
SJPG100318.001,sp|O70161|PI51C_MOUSE,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Mus musculus GN=Pip5k1c PE=1 SV=2,Pip5k1c,O70161
SJPG100886.001,sp|O70172|PI42A_MOUSE,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Mus musculus GN=Pip4k2a PE=1 SV=1,Pip4k2a,O70172
SJPG100999.001,sp|O70194|EIF3D_MOUSE,Eukaryotic translation initiation factor 3 subunit D OS=Mus musculus GN=Eif3d PE=1 SV=2,Eif3d,O70194
SJPG103807.001,sp|O70209|PDLI3_MOUSE,PDZ and LIM domain protein 3 OS=Mus musculus GN=Pdlim3 PE=1 SV=1,Pdlim3,O70209
SJPG102657.001,sp|O70250|PGAM2_MOUSE,Phosphoglycerate mutase 2 OS=Mus musculus GN=Pgam2 PE=1 SV=3,Pgam2,O70250
SJPG101309.001,sp|O70251|EF1B_MOUSE,Elongation factor 1-beta OS=Mus musculus GN=Eef1b PE=1 SV=5,Eef1b,O70251
SJPG100290.001,sp|O70252|HMOX2_MOUSE,Heme oxygenase 2 OS=Mus musculus GN=Hmox2 PE=2 SV=1,Hmox2,O70252
SJPG101745.001,sp|O70305|ATX2_MOUSE,Ataxin-2 OS=Mus musculus GN=Atxn2 PE=1 SV=1,Atxn2,O70305
SJPG112656.001,sp|O70306|TBX15_MOUSE,T-box transcription factor TBX15 OS=Mus musculus GN=Tbx15 PE=1 SV=2,Tbx15,O70306
SJPG107953.001,sp|O70309|ITB5_MOUSE,Integrin beta-5 OS=Mus musculus GN=Itgb5 PE=1 SV=2,Itgb5,O70309
SJPG101170.001,sp|O70310|NMT1_MOUSE,Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus GN=Nmt1 PE=1 SV=1,Nmt1,O70310
SJPG105398.001,sp|O70311|NMT2_MOUSE,Glycylpeptide N-tetradecanoyltransferase 2 OS=Mus musculus GN=Nmt2 PE=2 SV=1,Nmt2,O70311
SJPG101271.001,sp|O70318|E41L2_MOUSE,Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2,Epb41l2,O70318
SJPG103266.001,sp|O70325|GPX41_MOUSE,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial OS=Mus musculus GN=Gpx4 PE=1 SV=4",Gpx4,O70325
SJPG107016.001,sp|O70362|PHLD_MOUSE,Phosphatidylinositol-glycan-specific phospholipase D OS=Mus musculus GN=Gpld1 PE=1 SV=1,Gpld1,O70362
SJPG121828.001,sp|O70373|XIRP1_MOUSE,Xin actin-binding repeat-containing protein 1 OS=Mus musculus GN=Xirp1 PE=1 SV=2,Xirp1,O70373
SJPG102196.001,sp|O70378|EMC8_MOUSE,ER membrane protein complex subunit 8 OS=Mus musculus GN=Emc8 PE=1 SV=1,Emc8,O70378
SJPG105661.001,sp|O70400|PDLI1_MOUSE,PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=2 SV=4,Pdlim1,O70400
SJPG108026.001,sp|O70423|AOC3_MOUSE,Membrane primary amine oxidase OS=Mus musculus GN=Aoc3 PE=2 SV=3,Aoc3,O70423
SJPG100412.001,sp|O70435|PSA3_MOUSE,Proteasome subunit alpha type-3 OS=Mus musculus GN=Psma3 PE=1 SV=3,Psma3,O70435
SJPG102812.001,sp|O70439|STX7_MOUSE,Syntaxin-7 OS=Mus musculus GN=Stx7 PE=1 SV=3,Stx7,O70439
SJPG108910.001,sp|O70456|1433S_MOUSE,14-3-3 protein sigma OS=Mus musculus GN=Sfn PE=1 SV=2,Sfn,O70456
SJPG102323.001,sp|O70475|UGDH_MOUSE,UDP-glucose 6-dehydrogenase OS=Mus musculus GN=Ugdh PE=1 SV=1,Ugdh,O70475
SJPG106318.001,sp|O70481|UBR1_MOUSE,E3 ubiquitin-protein ligase UBR1 OS=Mus musculus GN=Ubr1 PE=1 SV=2,Ubr1,O70481
SJPG100132.001,sp|O70492|SNX3_MOUSE,Sorting nexin-3 OS=Mus musculus GN=Snx3 PE=1 SV=3,Snx3,O70492
SJPG110027.001,sp|O70494|SP3_MOUSE,Transcription factor Sp3 OS=Mus musculus GN=Sp3 PE=1 SV=2,Sp3,O70494
SJPG106858.001,sp|O70496|CLCN7_MOUSE,H(+)/Cl(-) exchange transporter 7 OS=Mus musculus GN=Clcn7 PE=1 SV=1,Clcn7,O70496
SJPG102349.001,sp|O70503|DHB12_MOUSE,Estradiol 17-beta-dehydrogenase 12 OS=Mus musculus GN=Hsd17b12 PE=2 SV=1,Hsd17b12,O70503
SJPG120877.001,sp|O70548|TELT_MOUSE,Telethonin OS=Mus musculus GN=Tcap PE=2 SV=1,Tcap,O70548
SJPG109374.001,sp|O70571|PDK4_MOUSE,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial OS=Mus musculus GN=Pdk4 PE=2 SV=1",Pdk4,O70571
SJPG107283.001,sp|O70572|NSMA_MOUSE,Sphingomyelin phosphodiesterase 2 OS=Mus musculus GN=Smpd2 PE=1 SV=1,Smpd2,O70572
SJPG101691.001,sp|O70589|CSKP_MOUSE,Peripheral plasma membrane protein CASK OS=Mus musculus GN=Cask PE=1 SV=2,Cask,O70589
SJPG101843.002,sp|O70622-2|RTN2_MOUSE,Isoform 2 of Reticulon-2 OS=Mus musculus GN=Rtn2,Rtn2,O70622-2
SJPG101843.001,sp|O70622|RTN2_MOUSE,Reticulon-2 OS=Mus musculus GN=Rtn2 PE=1 SV=1,Rtn2,O70622
SJPG118367.001,sp|O70624|MYOC_MOUSE,Myocilin OS=Mus musculus GN=Myoc PE=1 SV=1,Myoc,O70624
SJPG114920.001,sp|O88200|CLC11_MOUSE,C-type lectin domain family 11 member A OS=Mus musculus GN=Clec11a PE=2 SV=1,Clec11a,O88200
SJPG103290.001,sp|O88291|ZN326_MOUSE,DBIRD complex subunit ZNF326 OS=Mus musculus GN=Znf326 PE=2 SV=1,Znf326,O88291
SJPG105096.001,sp|O88322|NID2_MOUSE,Nidogen-2 OS=Mus musculus GN=Nid2 PE=1 SV=2,Nid2,O88322
SJPG102741.001,sp|O88342|WDR1_MOUSE,WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3,Wdr1,O88342
SJPG121157.001,sp|O88346|TNNT1_MOUSE,"Troponin T, slow skeletal muscle OS=Mus musculus GN=Tnnt1 PE=2 SV=3",Tnnt1,O88346
SJPG101305.001,sp|O88384|VTI1B_MOUSE,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Mus musculus GN=Vti1b PE=1 SV=1,Vti1b,O88384
SJPG107844.001,sp|O88425|NDK6_MOUSE,Nucleoside diphosphate kinase 6 OS=Mus musculus GN=Nme6 PE=2 SV=1,Nme6,O88425
SJPG108006.001,sp|O88428|PAPS2_MOUSE,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Mus musculus GN=Papss2 PE=1 SV=2,Papss2,O88428
SJPG101094.001,sp|O88441|MTX2_MOUSE,Metaxin-2 OS=Mus musculus GN=Mtx2 PE=1 SV=1,Mtx2,O88441
SJPG100736.001,sp|O88447|KLC1_MOUSE,Kinesin light chain 1 OS=Mus musculus GN=Klc1 PE=1 SV=3,Klc1,O88447
SJPG100276.001,sp|O88448|KLC2_MOUSE,Kinesin light chain 2 OS=Mus musculus GN=Klc2 PE=1 SV=1,Klc2,O88448
SJPG101041.001,sp|O88456|CPNS1_MOUSE,Calpain small subunit 1 OS=Mus musculus GN=Capns1 PE=2 SV=1,Capns1,O88456
SJPG100713.001,sp|O88485|DC1I1_MOUSE,Cytoplasmic dynein 1 intermediate chain 1 OS=Mus musculus GN=Dync1i1 PE=1 SV=2,Dync1i1,O88485
SJPG100275.001,sp|O88487|DC1I2_MOUSE,Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus GN=Dync1i2 PE=1 SV=1,Dync1i2,O88487
SJPG107225.001,sp|O88492|PLIN4_MOUSE,Perilipin-4 OS=Mus musculus GN=Plin4 PE=1 SV=2,Plin4,O88492
SJPG102526.001,sp|O88520|SHOC2_MOUSE,Leucine-rich repeat protein SHOC-2 OS=Mus musculus GN=Shoc2 PE=2 SV=2,Shoc2,O88520
SJPG100442.001,sp|O88532|ZFR_MOUSE,Zinc finger RNA-binding protein OS=Mus musculus GN=Zfr PE=1 SV=2,Zfr,O88532
SJPG105026.001,sp|O88543|CSN3_MOUSE,COP9 signalosome complex subunit 3 OS=Mus musculus GN=Cops3 PE=1 SV=3,Cops3,O88543
SJPG101346.001,sp|O88544|CSN4_MOUSE,COP9 signalosome complex subunit 4 OS=Mus musculus GN=Cops4 PE=1 SV=1,Cops4,O88544
SJPG101825.001,sp|O88545|CSN6_MOUSE,COP9 signalosome complex subunit 6 OS=Mus musculus GN=Cops6 PE=1 SV=1,Cops6,O88545
SJPG100063.001,sp|O88569|ROA2_MOUSE,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2,Hnrnpa2b1,O88569
SJPG100989.001,sp|O88587|COMT_MOUSE,Catechol O-methyltransferase OS=Mus musculus GN=Comt PE=1 SV=2,Comt,O88587
SJPG101603.001,sp|O88597|BECN1_MOUSE,Beclin-1 OS=Mus musculus GN=Becn1 PE=1 SV=3,Becn1,O88597
SJPG104969.001,sp|O88622|PARG_MOUSE,Poly(ADP-ribose) glycohydrolase OS=Mus musculus GN=Parg PE=1 SV=2,Parg,O88622
SJPG109929.001,sp|O88623|UBP2_MOUSE,Ubiquitin carboxyl-terminal hydrolase 2 OS=Mus musculus GN=Usp2 PE=1 SV=2,Usp2,O88623
SJPG100495.001,sp|O88643|PAK1_MOUSE,Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1,Pak1,O88643
SJPG110441.001,sp|O88673|DGKA_MOUSE,Diacylglycerol kinase alpha OS=Mus musculus GN=Dgka PE=2 SV=2,Dgka,O88673
SJPG100378.001,sp|O88685|PRS6A_MOUSE,26S protease regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=1 SV=2,Psmc3,O88685
SJPG103722.001,sp|O88696|CLPP_MOUSE,"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Mus musculus GN=Clpp PE=1 SV=1",Clpp,O88696
SJPG108593.001,sp|O88708|ORC4_MOUSE,Origin recognition complex subunit 4 OS=Mus musculus GN=Orc4 PE=1 SV=2,Orc4,O88708
SJPG102442.001,sp|O88712|CTBP1_MOUSE,C-terminal-binding protein 1 OS=Mus musculus GN=Ctbp1 PE=1 SV=2,Ctbp1,O88712
SJPG102880.001,sp|O88735|MAP7_MOUSE,Ensconsin OS=Mus musculus GN=Map7 PE=1 SV=1,Map7,O88735
SJPG103279.001,sp|O88736|DHB7_MOUSE,3-keto-steroid reductase OS=Mus musculus GN=Hsd17b7 PE=2 SV=1,Hsd17b7,O88736
SJPG102343.001,sp|O88738|BIRC6_MOUSE,Baculoviral IAP repeat-containing protein 6 OS=Mus musculus GN=Birc6 PE=1 SV=2,Birc6,O88738
SJPG101586.001,sp|O88746|TOM1_MOUSE,Target of Myb protein 1 OS=Mus musculus GN=Tom1 PE=1 SV=1,Tom1,O88746
SJPG101906.001,sp|O88844|IDHC_MOUSE,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=2,Idh1,O88844
SJPG102575.001,sp|O88851|RBBP9_MOUSE,Putative hydrolase RBBP9 OS=Mus musculus GN=Rbbp9 PE=1 SV=2,Rbbp9,O88851
SJPG103338.001,sp|O88910|MPP3_MOUSE,MAGUK p55 subfamily member 3 OS=Mus musculus GN=Mpp3 PE=1 SV=2,Mpp3,O88910
SJPG110321.001,sp|O88942|NFAC1_MOUSE,"Nuclear factor of activated T-cells, cytoplasmic 1 OS=Mus musculus GN=Nfatc1 PE=2 SV=1",Nfatc1,O88942
SJPG105680.001,sp|O88952|LIN7C_MOUSE,Protein lin-7 homolog C OS=Mus musculus GN=Lin7c PE=1 SV=2,Lin7c,O88952
SJPG104710.001,sp|O88967|YMEL1_MOUSE,ATP-dependent zinc metalloprotease YME1L1 OS=Mus musculus GN=Yme1l1 PE=2 SV=1,Yme1l1,O88967
SJPG101249.001,sp|O88983|STX8_MOUSE,Syntaxin-8 OS=Mus musculus GN=Stx8 PE=1 SV=1,Stx8,O88983
SJPG104149.001,sp|O88986|KBL_MOUSE,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2",Gcat,O88986
SJPG108802.001,sp|O88990|ACTN3_MOUSE,Alpha-actinin-3 OS=Mus musculus GN=Actn3 PE=2 SV=1,Actn3,O88990
SJPG109318.001,sp|O89020|AFAM_MOUSE,Afamin OS=Mus musculus GN=Afm PE=1 SV=2,Afm,O89020
SJPG105872.001,sp|O89023|TPP1_MOUSE,Tripeptidyl-peptidase 1 OS=Mus musculus GN=Tpp1 PE=1 SV=2,Tpp1,O89023
SJPG104807.001,sp|O89050|MKLN1_MOUSE,Muskelin OS=Mus musculus GN=Mkln1 PE=2 SV=1,Mkln1,O89050
SJPG102517.001,sp|O89051|ITM2B_MOUSE,Integral membrane protein 2B OS=Mus musculus GN=Itm2b PE=2 SV=1,Itm2b,O89051
SJPG101107.001,sp|O89053|COR1A_MOUSE,Coronin-1A OS=Mus musculus GN=Coro1a PE=1 SV=5,Coro1a,O89053
SJPG101396.001,sp|O89079|COPE_MOUSE,Coatomer subunit epsilon OS=Mus musculus GN=Cope PE=2 SV=3,Cope,O89079
SJPG103663.001,sp|O89084|PDE4A_MOUSE,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A OS=Mus musculus GN=Pde4a PE=2 SV=2",Pde4a,O89084
SJPG101237.001,sp|O89086|RBM3_MOUSE,Putative RNA-binding protein 3 OS=Mus musculus GN=Rbm3 PE=2 SV=1,Rbm3,O89086
SJPG109286.001,sp|O89103|C1QR1_MOUSE,Complement component C1q receptor OS=Mus musculus GN=Cd93 PE=1 SV=1,Cd93,O89103
SJPG110014.001,sp|O89104|SYPL2_MOUSE,Synaptophysin-like protein 2 OS=Mus musculus GN=Sypl2 PE=2 SV=1,Sypl2,O89104
SJPG104896.001,sp|O89112|LANC1_MOUSE,LanC-like protein 1 OS=Mus musculus GN=Lancl1 PE=1 SV=1,Lancl1,O89112
